area acronym	area	conference acronym	conference name	twitter screen names
AI	Artificial intelligence	AAMAS	International Conference on Autonomous Agents and Multiagent Systems	aamas2012
AI	Artificial intelligence	BMVC	British Machine Vision Conference	bmvc2013, bmvc2014
AI	Artificial intelligence	COLT	Conference on Learning Theory	colt2010a
AI	Artificial intelligence	CVPR	Conference on Computer Vision and Pattern Recognition	cvpr
AI	Artificial intelligence	EACL	Annual Conference of the European Chapter of the Association for Computational Linguistics	eacl2014
AI	Artificial intelligence	ECCV	European Conference on Computer Vision	eccv12
AI	Artificial intelligence	ICAPS	International Conference on Automated Planning and Scheduling	icaps2013
AI	Artificial intelligence	ICML	International Conference on Machine Learning	icml2010, icmlconference
AI	Artificial intelligence	ICPR	International Conference on Pattern Recognition	icpr2012
AI	Artificial intelligence	IJCAI	International Joint Conference on Artificial Intelligence	ijcai2013, ijcai
AI	Artificial intelligence	ISBI	International Symposium on Biomedical Imaging	isbi12
AI	Artificial intelligence	NAACL	Annual Conference of the North American Chapter of the Association for Computational Linguistics	naacl
AI	Artificial intelligence	NIPS	Conference on Neural Information Processing Systems	nipsconference
AI	Artificial intelligence	NLDB	International Conference on Applications of Natural Language to Information Systems	nldb12
AI	Artificial intelligence	RuleML	RuleML Symposium	ruleml2011
ALG	Algorithms and theory	ACMGIS	ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems	sigspatial_gis
CA	Computer architecture	ASAP	ApplicationSpecific Systems, Architectures, and Processors	asap_2013
CA	Computer architecture	DAC	Design Automation Conference	51stdac
CA	Computer architecture	ECRTS	Euromicro Conference on RealTime Systems	ecrts
CA	Computer architecture	HPCA	International Symposium on HighPerformance Computer Architecture	hpca16
CA	Computer architecture	ICCAD	International Conference on ComputerAided Design	iccad
CA	Computer architecture	LCTES	ACM SIGPLAN/SIGBED Conference on Languages, Compilers, and Tools for Embedded Systems	lctes13
CB	Computational biology	ISMB	Intelligent Systems for Molecular Biology	ismb2013
CB	Computational biology	PSB	Pacific Symposium on Biocomputing	pacsymbiocomp
CB	Computational biology	RECOMB	Research in Computational Molecular Biology	recomb2010, recomb2011
CG	Computer graphics	Eurographics	Annual Conference of the European Association for Computer Graphics	eurograph2013
CG	Computer graphics	I3D	ACM SIGGRAPH Symposium on Interactive 3D Graphics and Games	i3d2013, i3dconf
CG	Computer graphics	ICIP	IEEE International Conference on Image Processing	ieeeicip
CG	Computer graphics	ICME	IEEE International Conference on Multimedia and Expo	icme2011, icme2014
CG	Computer graphics	ACMMM	ACM International Conference on Multimedia	acmmm13
CG	Computer graphics	SIGGRAPH	International Conference on Computer Graphics and Interactive Techniques	siggraph
CN	Computer Networking and Networked Systems	GlobeCom	IEEE Global Communications Conference	ieeeglobecom
CN	Computer Networking and Networked Systems	HotMobile	International Workshop on Mobile Computing Systems and Applications	hotmobile2011
CN	Computer Networking and Networked Systems	ICC	IEEE International Conference on Communications	ieeeicc
CN	Computer Networking and Networked Systems	ICNP	IEEE International Conference on Network Protocols	icnp2009
